model,recall,precision,threshold
Regressão Logística,0.9147522664367126,0.6302840408392156,0.23456022637222804
Regressão Logística,0.9140062074689869,0.6305108233595637,0.23519192428130958
Regressão Logística,0.9133215126587798,0.6307777068955518,0.2358124093854678
Regressão Logística,0.9125625349210502,0.6309966725473994,0.23638767181183823
Regressão Logística,0.911881069803344,0.6312698150077584,0.2369936875381867
Regressão Logística,0.911180226530632,0.6315301723173073,0.23753987443606175
Regressão Logística,0.9104955317204249,0.6318037673266772,0.23812352762390745
Regressão Logística,0.909781769677709,0.6320563995898375,0.23872032653266506
Regressão Logística,0.9090647779424921,0.6323045438514122,0.2393148244985726
Regressão Logística,0.9083607049772792,0.6325651169642597,0.23997390750666575
Regressão Logística,0.9076921586295769,0.6328510791609904,0.24053186739899907
Regressão Logística,0.906968707509358,0.6331008237781977,0.24113302584661492
Regressão Logística,0.9062226485416324,0.6333310762007945,0.2416973056242694
Regressão Logística,0.9055314943464233,0.6336017246950937,0.24227068917897068
Regressão Logística,0.9048048135337035,0.6338466968485499,0.24286346886646987
Regressão Logística,0.9041201187234963,0.6341245732899318,0.24341782555040872
Regressão Logística,0.9034289645282872,0.6343957018413229,0.24403687245796238
Regressão Logística,0.9027345806405772,0.6346680895993461,0.24464565827723112
Regressão Logística,0.9020078998278573,0.634919841046113,0.24526124471300792
Regressão Logística,0.9013199753251493,0.6351951746898827,0.24582080823862715
Regressão Logística,0.9005997538974314,0.6354498282906775,0.2464042757138603
Regressão Logística,0.8998827621622145,0.6357088262471623,0.24696489191532287
Regressão Logística,0.8991948376595065,0.635987555051991,0.24752803383538824
Regressão Logística,0.8984713865392876,0.6362403428764849,0.2480988054333219
Regressão Logística,0.8976930306465521,0.6364577274829751,0.24865188199585875
Regressão Logística,0.8969728092188343,0.6367139857125826,0.24920277372384206
Regressão Logística,0.8962202908661067,0.6369508332185649,0.24977169001609004
Regressão Logística,0.8955162179008936,0.6372227278159271,0.2503752863280236
Regressão Logística,0.894766929240667,0.6374601363073681,0.25093760794937453
Regressão Logística,0.8940240999654423,0.6377071349092442,0.2515132542920401
Regressão Logística,0.8932618925352117,0.6379394255320621,0.25206890399372184
Regressão Logística,0.8924996851049811,0.6381752301862043,0.2526609785289291
Regressão Logística,0.891676113517232,0.6383647289770191,0.2532357102340718
Regressão Logística,0.8909365139345083,0.6386148813671542,0.25377491596628415
Regressão Logística,0.8901936846592836,0.6388633281954408,0.2543384108124724
Regressão Logística,0.8894766929240667,0.639127982938393,0.2549106231139909
Regressão Logística,0.8887564714963488,0.639392446710132,0.25548666650564184
Regressão Logística,0.8879264405235977,0.6395799504017643,0.2561200761536552
Regressão Logística,0.8872352863283887,0.6398650914918198,0.25665894009506746
Regressão Logística,0.8864375522806474,0.6400754662419165,0.2571961946270799
Regressão Logística,0.8856495073104089,0.6402978487920032,0.25774845962341775
Regressão Logística,0.8848776108026755,0.640529476812011,0.2583196760753555
Regressão Logística,0.8841799972224644,0.6408125144832719,0.2589165889044165
Regressão Logística,0.8834307085622378,0.6410602545173311,0.2594514869945294
Regressão Logística,0.8826814199020111,0.6413131218321757,0.2599926464490717
Regressão Logística,0.8819030640092757,0.641540951946865,0.26052224387394474
Regressão Logística,0.8811085596540353,0.6417575851669937,0.2610488960714387
